row_idx,Author(s),Year,Title,Candidate_1,Score_1,Candidate_2,Score_2,Candidate_3,Score_3
50,Charra Maria Avggoustattou,2023,"Paving the way towards Urban Green Infrastructure policy maintenance: The case of Sheffield, England",Master Thesis (6231543).pdf,56,Britt thesis final version.pdf,44,Msc_Thesis_Sofia_Faure_1646877.pdf,40
102,Alissa Kerklingh,2021,(Science) Fiction Imaginaries and Policy,Thesis_G.D.Verkleij_6297331.pdf,28,MSc Thesis - Quantifying the costs and reduction potential of mass timber.pdf,28,Thesis Jamie Hollwood Master.pdf,28
227,Hermen F.T. Groenendijk,2023,The Transformative Potential of Dutch Community Supported Agriculture,Prawiromaruto_Master Thesis SDGs.pdf,52,6885985finalthesis_2023.pdf,48,Master Thesis_ Rebecca Störbrock0288357.pdf,48
249,Laura Bicego,2023,Circular Start-Ups in the Textile Industry: Adoption of Circular Practices and Context Barriers,MSc_Thesis_YABE.pdf,52,Final_Masters_Thesis_AFP_SD.pdf,48,Rodriguez_Final Thesis.pdf,44
305,Britt Brilman,2025,Time autonomy as a pathway towards more sustainable societies,Master_Thesis_Girones_Aniol.pdf,36,Thesis SD ESG_Popkema_6515452.pdf,28,"Correia, A. (2020). Scenarios as a Tool for Sparking Public Discourse on Futures - MASTERS THESIS.pdf",28
