row_idx,Author(s),Year,Title,Candidate_1,Score_1,Candidate_2,Score_2,Candidate_3,Score_3
39,Lucas Bahnmüller,unknown,Investigating the variability of the Utrecht Science Park PV System,Thesis_ES_TvdAkker_5506409.pdf,32,Master_s_Thesis__Copy_-2.pdf,24,Thesis_PB7042744_2023_1.0.pdf,24
67,Wessel Bakker,2023,Cost reduction potential of demand response from a system perspective,F.A.Meijer_Master_Thesis_6017711 (002).pdf,52,Thesis archive pdf.pdf,52,ES_Thesis_Prevaes_5971101_30jun2023.pdf,52
81,Marieke Hooimeijer,2024,Economic performance of BESS on the aFRR,MSc_Thesis_Sander_Verweij.pdf,28,Thesis archive pdf.pdf,20,Master_s_Thesis__Copy_-2.pdf,16
100,Gerson Orlando Rivera Ortega,2025,"Techno-Economic Assessment of Hydrogen Production from Curtailed Wind Energy: A Case Study in La Guajira, Colombia",Thesis Aniket Walavalkar (6739334).pdf,56,F.A.Meijer_Master_Thesis_6017711 (002).pdf,48,Thesis_ES_TvdAkker_5506409.pdf,40
103,Joris Wensveen,2025,The role of energy storage in the Dutch energy system: a techno-economic analysis of hydrogen compared to other energy storage methods,F.A.Meijer_Master_Thesis_6017711 (002).pdf,56,Thesis Aniket Walavalkar (6739334).pdf,56,Thesis archive pdf.pdf,56
